district_id,category_id,platform_id,period_date,min_basket,avg_rating,monthly_revenue,delivery_type,discount_rate,coupon_rate
34-fatih,1,1,2026-05-01,57.95,3.48,1082554,platform,6.81,15.72
34-fatih,2,2,2026-05-01,59.63,3.37,932084,platform,5.94,13.67
34-fatih,3,3,2026-05-01,47.79,3.41,845140,platform,25.67,7.48
34-fatih,4,1,2026-05-01,53.93,4.05,1393744,platform,19.43,12.93
34-fatih,5,2,2026-05-01,84.05,3.36,1300169,platform,12.24,7.89
34-zeytinburnu,1,1,2026-05-01,49.71,3.67,1255770,platform,7.58,16.42
34-zeytinburnu,2,2,2026-05-01,52.51,3.42,1146702,platform,19.11,17.38
34-zeytinburnu,3,3,2026-05-01,64.86,3.94,1214983,own,16.64,23.47
34-zeytinburnu,4,1,2026-05-01,59.46,3.6,588499,platform,7.05,11.0
34-zeytinburnu,5,2,2026-05-01,64.8,3.71,870636,own,20.22,6.46
34-bakırköy,1,1,2026-05-01,65.48,3.5,758671,platform,28.33,13.43
34-bakırköy,2,2,2026-05-01,83.48,3.39,985184,own,13.5,12.0
34-bakırköy,3,3,2026-05-01,64.87,4.26,472103,platform,28.62,14.48
34-bakırköy,4,1,2026-05-01,71.57,3.37,1135567,own,21.18,24.86
34-bakırköy,5,2,2026-05-01,77.88,3.64,804531,own,5.56,14.23
34-beyoğlu,1,1,2026-05-01,51.72,3.44,461818,platform,24.21,7.59
34-beyoğlu,2,2,2026-05-01,54.9,3.77,1313752,own,7.01,13.98
34-beyoğlu,3,3,2026-05-01,66.98,4.36,1259077,own,26.6,10.57
34-beyoğlu,4,1,2026-05-01,61.61,3.73,1327143,own,28.94,8.02
34-beyoğlu,5,2,2026-05-01,52.05,3.58,644670,platform,17.12,16.78
34-beşiktaş,1,1,2026-05-01,55.51,3.3,839297,own,20.25,11.37
34-beşiktaş,2,2,2026-05-01,50.02,4.33,1396382,platform,16.42,22.42
34-beşiktaş,3,3,2026-05-01,83.08,4.12,986438,own,14.95,12.88
34-beşiktaş,4,1,2026-05-01,64.26,3.78,599868,platform,29.62,13.81
34-beşiktaş,5,2,2026-05-01,49.4,4.02,507352,platform,19.17,15.73
34-sarıyer,1,1,2026-05-01,82.96,4.04,473731,platform,20.35,7.97
34-sarıyer,2,2,2026-05-01,55.09,3.72,781853,own,8.07,21.98
34-sarıyer,3,3,2026-05-01,84.72,3.86,907337,own,7.15,7.04
34-sarıyer,4,1,2026-05-01,58.71,3.62,1269117,platform,17.91,9.1
34-sarıyer,5,2,2026-05-01,83.08,3.73,1123588,platform,23.95,10.96
34-şişli,1,1,2026-05-01,70.72,3.41,1286516,own,17.96,23.17
34-şişli,2,2,2026-05-01,59.23,3.57,967874,own,20.91,17.26
34-şişli,3,3,2026-05-01,76.54,4.21,604625,platform,25.46,19.8
34-şişli,4,1,2026-05-01,54.07,3.92,772834,platform,29.74,20.8
34-şişli,5,2,2026-05-01,63.89,3.53,1034534,own,16.18,23.74
34-kağıthane,1,1,2026-05-01,84.52,4.45,782348,platform,10.51,9.54
34-kağıthane,2,2,2026-05-01,52.87,3.55,1054381,platform,16.99,18.06
34-kağıthane,3,3,2026-05-01,76.99,3.4,1092674,platform,27.74,20.65
34-kağıthane,4,1,2026-05-01,75.01,3.87,587193,own,24.73,11.65
34-kağıthane,5,2,2026-05-01,77.03,4.47,815066,own,15.03,23.94
34-bağcılar,1,1,2026-05-01,73.99,3.5,533209,platform,8.78,23.1
34-bağcılar,2,2,2026-05-01,77.26,3.48,1266659,own,21.43,12.01
34-bağcılar,3,3,2026-05-01,66.95,3.46,414934,platform,18.16,23.67
34-bağcılar,4,1,2026-05-01,62.35,4.35,1266286,platform,5.7,9.26
34-bağcılar,5,2,2026-05-01,65.05,4.22,741824,own,18.61,21.68
34-eyüpsultan,1,1,2026-05-01,47.44,4.19,1341310,own,21.56,21.3
34-eyüpsultan,2,2,2026-05-01,65.67,4.29,1320826,platform,18.3,15.47
34-eyüpsultan,3,3,2026-05-01,45.75,3.83,592002,platform,24.4,8.0
34-eyüpsultan,4,1,2026-05-01,50.66,4.04,526182,platform,13.15,15.37
34-eyüpsultan,5,2,2026-05-01,67.22,4.24,511263,platform,11.21,10.54
34-gaziosmanpaşa,1,1,2026-05-01,75.89,3.91,989015,platform,24.0,23.25
34-gaziosmanpaşa,2,2,2026-05-01,62.73,4.04,930110,platform,22.32,14.05
34-gaziosmanpaşa,3,3,2026-05-01,66.33,3.87,1387235,platform,22.48,22.53
34-gaziosmanpaşa,4,1,2026-05-01,82.69,3.61,986692,platform,26.0,7.74
34-gaziosmanpaşa,5,2,2026-05-01,49.86,3.83,476070,platform,15.71,9.25
34-bayrampaşa,1,1,2026-05-01,57.11,3.45,1214672,platform,28.49,17.87
34-bayrampaşa,2,2,2026-05-01,59.65,3.6,543921,own,10.49,24.05
34-bayrampaşa,3,3,2026-05-01,60.93,3.88,1100273,platform,9.04,13.63
34-bayrampaşa,4,1,2026-05-01,65.62,3.71,605253,own,12.96,19.44
34-bayrampaşa,5,2,2026-05-01,45.78,3.96,861853,platform,14.61,15.35
34-esenler,1,1,2026-05-01,56.82,4.45,518331,platform,29.29,7.1
34-esenler,2,2,2026-05-01,55.62,3.35,1216838,platform,11.76,7.59
34-esenler,3,3,2026-05-01,61.89,4.39,1258761,own,15.15,15.73
34-esenler,4,1,2026-05-01,65.59,3.89,742935,platform,11.98,20.99
34-esenler,5,2,2026-05-01,52.33,4.37,681986,platform,20.86,21.03
34-güngören,1,1,2026-05-01,48.35,4.33,469858,own,26.57,14.08
34-güngören,2,2,2026-05-01,58.57,3.96,1371683,own,20.54,5.86
34-güngören,3,3,2026-05-01,73.38,4.43,569291,own,6.26,9.04
34-güngören,4,1,2026-05-01,57.48,3.67,1196391,platform,12.25,15.0
34-güngören,5,2,2026-05-01,52.12,3.72,419045,own,5.92,5.37
34-bahçelievler,1,1,2026-05-01,65.23,4.47,939214,own,11.14,13.94
34-bahçelievler,2,2,2026-05-01,71.33,4.08,1088400,own,18.65,22.77
34-bahçelievler,3,3,2026-05-01,83.81,3.67,625633,platform,13.57,21.65
34-bahçelievler,4,1,2026-05-01,73.27,4.06,824356,own,29.55,21.74
34-bahçelievler,5,2,2026-05-01,45.57,4.05,1322594,own,15.77,6.11
34-küçükçekmece,1,1,2026-05-01,71.61,3.76,930519,own,19.97,18.85
34-küçükçekmece,2,2,2026-05-01,46.81,3.52,682105,own,5.09,12.28
34-küçükçekmece,3,3,2026-05-01,58.16,4.48,739249,platform,5.86,22.65
34-küçükçekmece,4,1,2026-05-01,53.71,3.52,751621,own,7.1,10.58
34-küçükçekmece,5,2,2026-05-01,71.24,3.6,1213944,platform,7.27,21.34
34-avcılar,1,1,2026-05-01,50.75,4.0,813116,platform,12.49,17.59
34-avcılar,2,2,2026-05-01,48.38,4.45,1294694,platform,21.44,19.32
34-avcılar,3,3,2026-05-01,80.16,3.77,741977,own,8.74,19.48
34-avcılar,4,1,2026-05-01,70.73,3.35,1275864,own,23.35,21.24
34-avcılar,5,2,2026-05-01,50.57,3.93,928871,platform,25.66,16.68
