district_id,category_id,platform_id,period_date,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast
34-fatih,,1,2026-05-01,2652,44685,62.84,42.34,23.55,49.2,9418.24,614106.17,5197308.39
34-fatih,,2,2026-05-01,3314,20201,24.71,25.62,12.72,47.39,18481.89,202615.38,8387818.55
34-fatih,,3,2026-05-01,2655,18321,51.16,44.11,11.89,16.43,21832.17,503793.77,7102082.96
34-zeytinburnu,,1,2026-05-01,2136,36870,49.55,21.84,17.01,26.77,6082.69,225893.93,6325250.33
34-zeytinburnu,,2,2026-05-01,2466,44127,69.78,44.41,31.23,27.61,10133.99,336081.57,2642408.05
34-zeytinburnu,,3,2026-05-01,1242,34240,25.39,25.18,12.0,15.68,18328.15,295290.91,8040365.53
34-bakırköy,,1,2026-05-01,1014,38801,38.77,39.81,22.59,37.65,9572.82,544450.95,4322424.87
34-bakırköy,,2,2026-05-01,2074,29796,20.76,29.35,37.69,20.38,18726.29,185915.71,5129121.03
34-bakırköy,,3,2026-05-01,2794,19644,54.1,21.59,25.27,54.41,19851.4,406384.47,4617636.27
34-beyoğlu,,1,2026-05-01,2417,35574,69.5,15.02,35.93,53.99,16669.33,718868.01,2323673.47
34-beyoğlu,,2,2026-05-01,1567,33839,69.79,36.07,27.31,16.68,8634.45,418432.51,2260324.0
34-beyoğlu,,3,2026-05-01,3299,29558,61.51,28.52,12.23,23.35,17458.57,188374.9,4522653.79
34-beşiktaş,,1,2026-05-01,3348,37701,26.36,35.55,34.97,20.43,12949.75,518712.23,4158111.11
34-beşiktaş,,2,2026-05-01,1735,24351,56.27,20.55,28.87,37.16,18365.53,389633.37,5239852.13
34-beşiktaş,,3,2026-05-01,1121,35620,22.37,18.82,25.37,25.21,19316.92,391469.92,4851136.41
34-sarıyer,,1,2026-05-01,3243,40178,34.67,21.14,31.61,17.75,10111.13,482057.83,7570119.21
34-sarıyer,,2,2026-05-01,3316,12858,34.01,47.11,16.12,15.66,10845.49,420680.98,2580870.13
34-sarıyer,,3,2026-05-01,1521,26478,38.44,35.03,13.95,29.49,22036.92,709466.45,6338671.89
34-şişli,,1,2026-05-01,2937,17197,49.49,47.33,24.24,29.3,11612.48,198112.6,5969748.07
34-şişli,,2,2026-05-01,1106,39603,23.36,25.89,14.1,17.9,14155.63,378598.99,2480129.11
34-şişli,,3,2026-05-01,1330,30388,37.59,38.98,37.03,49.84,13508.76,606887.28,7639877.85
34-kağıthane,,1,2026-05-01,3146,8952,51.25,28.38,27.48,39.35,7443.64,525278.33,8457929.78
34-kağıthane,,2,2026-05-01,2504,29636,39.42,40.73,27.43,32.62,21090.66,225242.4,6926324.12
