district_id,category_id,platform_id,period_date,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast
34-fatih,,1,2026-05-01,2273,43157,30.0,36.09,29.37,47.75,11747.47,357884.12,7507349.64
34-fatih,,2,2026-05-01,3579,70389,48.26,18.99,33.76,22.12,11742.46,595763.99,3320978.67
34-fatih,,3,2026-05-01,1451,69497,40.95,33.36,24.99,21.72,3919.12,68202.84,4910736.24
34-zeytinburnu,,1,2026-05-01,3212,39432,39.32,37.77,6.19,25.52,7624.18,548326.88,3940611.67
34-zeytinburnu,,2,2026-05-01,693,44351,30.26,11.52,21.89,19.25,11947.85,179072.9,4597937.78
34-zeytinburnu,,3,2026-05-01,710,19802,35.57,18.65,35.71,45.12,5184.92,383829.12,2969804.06
34-bakırköy,,1,2026-05-01,1189,57811,42.97,20.04,32.91,48.37,17495.64,263525.21,7583559.51
34-bakırköy,,2,2026-05-01,888,62319,25.75,21.3,8.43,34.49,3199.7,568291.74,6451441.34
34-bakırköy,,3,2026-05-01,1365,27585,26.6,17.9,36.7,22.47,6844.99,235831.44,2970509.36
34-beyoğlu,,1,2026-05-01,1812,39326,29.44,42.63,37.42,38.67,3320.17,252268.07,2891672.19
34-beyoğlu,,2,2026-05-01,1338,44521,32.29,28.71,14.98,28.85,4426.33,475551.64,2466988.0
34-beyoğlu,,3,2026-05-01,3186,12089,42.98,26.42,10.21,23.53,7915.28,455894.71,1716982.8
34-beşiktaş,,1,2026-05-01,3233,2853,25.63,48.83,39.46,40.4,9453.06,366928.39,2540032.1
34-beşiktaş,,2,2026-05-01,791,26937,51.68,33.71,20.85,39.3,9674.75,200770.94,6686774.76
34-beşiktaş,,3,2026-05-01,1432,26602,18.72,20.48,10.97,32.74,14107.94,61630.11,1694743.8
34-sarıyer,,1,2026-05-01,1055,13024,34.76,42.91,30.6,27.76,2959.03,273319.99,1649527.01
34-sarıyer,,2,2026-05-01,3392,26132,19.32,46.11,9.01,35.43,13189.15,407860.51,4042534.26
34-sarıyer,,3,2026-05-01,1149,48616,48.03,14.34,38.75,10.89,17903.1,281565.01,2682427.78
34-şişli,,1,2026-05-01,1100,7027,53.78,32.63,24.46,37.66,17523.0,532212.86,1298219.05
34-şişli,,2,2026-05-01,1173,50206,30.93,41.77,5.47,48.7,13671.12,318849.79,1376971.31
34-şişli,,3,2026-05-01,1779,72284,37.21,17.64,26.38,41.23,12466.37,503475.1,7052509.42
34-kağıthane,,1,2026-05-01,1371,43013,39.11,24.71,23.85,16.26,4598.77,169610.33,1905264.74
34-kağıthane,,2,2026-05-01,3500,38312,46.84,34.44,36.77,36.96,17485.55,410701.87,6439118.6
34-kağıthane,,3,2026-05-01,1264,77834,50.39,44.05,10.33,47.73,6807.05,68705.85,5358418.5
34-bağcılar,,1,2026-05-01,2166,5145,32.47,40.44,29.22,37.31,10274.08,163784.62,3087284.85
34-bağcılar,,2,2026-05-01,3620,15309,27.12,38.9,36.37,49.96,11351.47,336311.31,3126175.22
34-bağcılar,,3,2026-05-01,2333,31974,54.24,20.29,8.65,18.9,4621.72,156531.27,4496396.69
34-eyüpsultan,,1,2026-05-01,816,72221,15.61,44.94,5.97,45.07,13057.14,184227.79,1950647.89
34-eyüpsultan,,2,2026-05-01,3205,53101,54.72,47.86,18.99,20.98,5113.2,354409.3,3119563.41
34-eyüpsultan,,3,2026-05-01,3910,8138,43.35,15.43,32.28,29.24,11390.95,346198.24,5878599.53
34-gaziosmanpaşa,,1,2026-05-01,3760,44322,15.07,46.2,38.92,18.61,2956.22,234279.36,4877497.11
34-gaziosmanpaşa,,2,2026-05-01,865,72120,56.7,24.56,21.24,24.75,9096.68,231646.95,6046648.76
34-gaziosmanpaşa,,3,2026-05-01,3087,54247,28.24,33.41,11.12,35.8,13877.89,335860.11,4006772.01
34-bayrampaşa,,1,2026-05-01,2675,13857,39.47,26.53,37.89,15.22,10962.16,93142.43,6367965.24
34-bayrampaşa,,2,2026-05-01,1187,29788,34.38,25.12,11.63,27.31,12871.25,493340.72,5379946.5
34-bayrampaşa,,3,2026-05-01,2751,74877,21.81,18.28,28.31,47.42,9013.93,222009.42,7960106.62
34-esenler,,1,2026-05-01,2317,51922,47.33,41.0,37.25,19.7,9836.91,272973.19,3092042.43
34-esenler,,2,2026-05-01,894,65647,29.3,36.06,11.96,11.39,16046.93,411890.25,6908330.64
34-esenler,,3,2026-05-01,2576,3402,17.87,34.02,39.34,35.72,15218.64,354169.84,6416119.79
34-güngören,,1,2026-05-01,614,9670,20.78,47.79,27.22,41.52,14520.39,442788.21,4818928.1
34-güngören,,2,2026-05-01,1399,15608,17.88,23.43,13.6,44.4,5349.87,505683.08,4718254.49
34-güngören,,3,2026-05-01,891,21419,18.82,20.38,23.68,41.48,8250.53,291135.19,5005363.38
34-bahçelievler,,1,2026-05-01,2226,51417,53.87,35.87,23.98,38.32,17883.28,313253.03,1783334.18
34-bahçelievler,,2,2026-05-01,1040,72306,27.41,20.86,37.6,33.31,13004.41,280023.04,1122649.79
34-bahçelievler,,3,2026-05-01,843,9514,58.69,42.18,28.74,45.92,9707.0,182840.91,1459484.25
34-küçükçekmece,,1,2026-05-01,2071,62569,47.41,41.09,18.3,39.35,9888.24,483820.05,6425576.75
34-küçükçekmece,,2,2026-05-01,2261,19099,45.49,21.77,29.73,21.6,12308.9,599220.16,7514999.13
34-küçükçekmece,,3,2026-05-01,2019,42723,43.78,21.47,31.66,36.36,9252.1,581999.3,3555020.96
34-avcılar,,1,2026-05-01,3728,49003,50.71,49.53,7.16,14.6,13785.98,590368.2,6875251.65
34-avcılar,,2,2026-05-01,2541,61951,31.9,41.55,38.31,40.52,10570.77,449153.15,1394974.13
34-avcılar,,3,2026-05-01,3289,14096,57.89,44.9,20.83,16.61,11034.94,170516.09,1607998.03
34-beylikdüzü,,1,2026-05-01,3501,67183,41.74,46.73,14.57,18.37,17614.23,392701.22,6506778.92
34-beylikdüzü,,2,2026-05-01,2811,48875,22.49,12.77,36.43,38.8,3547.89,236093.27,5164399.05
34-beylikdüzü,,3,2026-05-01,2389,32714,29.36,37.3,37.79,43.72,7403.75,533717.37,3058568.69
34-büyükçekmece,,1,2026-05-01,2627,33365,24.99,36.26,36.75,14.28,8722.96,445583.89,1883284.37
34-büyükçekmece,,2,2026-05-01,1125,55497,39.18,35.2,22.89,32.97,5438.2,351580.13,1926353.62
34-büyükçekmece,,3,2026-05-01,2489,79105,23.17,46.88,14.21,11.8,11215.58,274109.81,1519574.48
34-silivri,,1,2026-05-01,3036,56612,22.36,31.87,20.4,18.43,4169.6,116997.63,4938124.02
34-silivri,,2,2026-05-01,3878,63723,21.75,24.79,21.13,13.12,7465.28,238570.54,2633474.28
34-silivri,,3,2026-05-01,2434,28558,40.33,13.71,17.77,45.02,17274.19,458192.28,1664689.36
34-çatalca,,1,2026-05-01,2398,56659,21.83,47.7,31.92,21.1,9707.81,533778.4,3485970.08
34-çatalca,,2,2026-05-01,2515,15787,55.63,13.57,8.13,22.8,16546.64,504463.06,7769931.68
34-çatalca,,3,2026-05-01,3969,16963,59.99,41.23,22.71,43.53,13426.73,588123.7,6466518.32
34-sultangazi,,1,2026-05-01,1371,22589,18.62,21.11,17.25,28.17,13840.47,140323.58,3885053.01
34-sultangazi,,2,2026-05-01,1030,52579,44.99,46.49,29.49,38.93,16657.58,172234.0,7368497.97
34-sultangazi,,3,2026-05-01,2391,69063,22.01,34.55,31.14,12.41,15616.69,450348.64,1559558.67
34-esenyurt,,1,2026-05-01,3067,75224,58.8,14.35,33.23,27.33,8335.55,331769.43,6250610.67
34-esenyurt,,2,2026-05-01,1318,50674,26.67,14.87,12.86,40.29,8180.5,358851.81,7028053.9
34-esenyurt,,3,2026-05-01,3292,13771,52.89,14.83,13.39,27.04,6385.06,335540.87,6094653.62
34-başakşehir,,1,2026-05-01,1691,45702,24.62,36.19,32.33,21.3,7177.43,218828.21,5768075.06
34-başakşehir,,2,2026-05-01,3271,63901,32.35,30.76,34.43,11.04,11968.44,584087.98,4850911.81
34-başakşehir,,3,2026-05-01,3505,57357,43.32,31.44,5.08,24.97,2404.95,451336.34,7764766.88
34-arnavutköy,,1,2026-05-01,2545,4926,59.48,41.83,35.04,22.73,8494.57,501388.8,3196424.76
34-arnavutköy,,2,2026-05-01,1194,66847,34.45,35.44,37.14,25.61,15547.16,571229.85,7567386.46
34-arnavutköy,,3,2026-05-01,622,28831,28.0,24.28,29.58,37.62,12624.05,171284.59,3717209.28
34-üsküdar,,1,2026-05-01,2112,3227,33.87,13.68,22.23,27.08,17646.37,553226.61,6687356.78
34-üsküdar,,2,2026-05-01,1024,21681,40.06,21.25,36.8,30.93,9499.58,552319.06,7630599.35
34-üsküdar,,3,2026-05-01,3589,24739,26.66,44.42,5.6,21.02,11265.82,338741.22,7522083.78
34-kadıköy,,1,2026-05-01,2692,44555,22.14,25.21,19.62,31.06,12806.09,416228.34,1368167.09
34-kadıköy,,2,2026-05-01,1659,43023,42.18,11.28,23.68,44.18,7144.54,226289.86,1360541.94
34-kadıköy,,3,2026-05-01,2362,6418,45.48,19.66,34.68,31.38,2706.26,454679.89,5323992.8
34-ataşehir,,1,2026-05-01,1734,33353,49.38,42.71,7.37,46.83,5426.31,213346.27,1727269.62
34-ataşehir,,2,2026-05-01,845,35890,30.32,35.22,12.91,34.34,13567.83,456109.61,7875642.9
34-ataşehir,,3,2026-05-01,3207,3990,43.68,31.56,35.51,40.97,2610.81,503260.25,4635390.88
34-ümraniye,,1,2026-05-01,895,36030,48.1,40.87,12.32,34.09,5997.24,283215.64,3409906.91
34-ümraniye,,2,2026-05-01,2483,63212,39.81,28.62,27.06,47.7,7619.06,93312.22,4313554.96
34-ümraniye,,3,2026-05-01,3976,8868,15.64,23.5,10.18,47.98,10937.2,273877.68,993181.19
34-maltepe,,1,2026-05-01,847,70032,46.97,31.0,8.81,46.75,10556.15,513514.84,4792092.01
