scope,district_id,category,period_date,platform,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast,cancel_rate,return_rate,cancel_reasons_json,return_reasons_json,area_performance_score,area_rating,highest_rating,lowest_rating,avg_basket,avg_menu_price,avg_monthly_revenue,courier_fee,hourly_heatmap_json,negative_comment_total,negative_comment_rate,negative_avg_rating,platform_negative_distribution_json,rating_distribution_json,negative_word_cloud_json,courier_comparison_json
district,34-adalar,,2026-05-01,Uber Eats Trendyol Go,956,21639,43.5,29.9,27.8,27.6,12147.35,286341.63,5952462.56,5.64,4.12,"[{""label"": ""Uzun bekleme"", ""percent"": 10.8, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 20.1, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 16.2, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 22.9, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 19.0, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 18.4, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 19.0, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 28.3, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 27.4, ""color"": ""#F99F1B""}]",89.0,3.71,4.71,3.13,105.84,242.16,514350,17,"[[52, 16, 49, 48, 81, 37, 9, 97, 62, 72, 19, 52, 14, 74, 41, 84, 83, 50, 77, 28, 94, 12, 9, 88], [33, 41, 14, 33, 16, 52, 39, 62, 85, 50, 24, 51, 49, 30, 89, 38, 93, 91, 86, 13, 81, 85, 25, 72], [97, 35, 24, 63, 52, 38, 85, 92, 75, 32, 91, 45, 11, 33, 8, 44, 55, 38, 12, 31, 76, 95, 44, 31], [87, 67, 54, 86, 62, 22, 37, 21, 35, 99, 75, 72, 37, 99, 78, 58, 78, 55, 50, 32, 21, 69, 67, 15], [100, 10, 18, 23, 84, 24, 91, 58, 80, 12, 53, 52, 80, 63, 71, 36, 74, 5, 91, 96, 18, 91, 72, 100], [38, 86, 47, 18, 41, 59, 24, 62, 4, 96, 96, 37, 68, 26, 68, 17, 84, 42, 85, 68, 81, 29, 23, 51], [24, 73, 71, 4, 80, 45, 66, 6, 18, 50, 43, 34, 11, 34, 76, 14, 14, 97, 66, 12, 72, 20, 20, 88]]",2446,33.94,2.25,"[{""platform_id"": 1, ""percent"": 33.5}, {""platform_id"": 2, ""percent"": 36.2}, {""platform_id"": 3, ""percent"": 30.3}]","[{""stars"": 5, ""percent"": 34.1, ""count"": 2402}, {""stars"": 4, ""percent"": 23.1, ""count"": 2294}, {""stars"": 3, ""percent"": 25.3, ""count"": 1960}, {""stars"": 2, ""percent"": 16.2, ""count"": 1875}, {""stars"": 1, ""percent"": 18.0, ""count"": 1197}]","[{""text"": ""Lezzetsiz"", ""weight"": 3}, {""text"": ""Eksik"", ""weight"": 1}, {""text"": ""Bayat"", ""weight"": 5}, {""text"": ""Geç"", ""weight"": 5}, {""text"": ""Yağlı"", ""weight"": 2}, {""text"": ""Az porsiyon"", ""weight"": 5}]","{""restaurant_courier"": {""fee"": 22, ""avg_cost"": 25.14, ""monthly_revenue"": 3482, ""churn_label"": ""YÜKSEK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 26.01, ""monthly_revenue"": 732938, ""churn_label"": ""ORTA""}}"
district,34-adalar,,2026-05-01,Getir,790,53695,31.0,38.4,29.3,28.3,14290.66,292760.77,5363355.13,,,,,,,,,,,,,,,,,,,,
district,34-adalar,,2026-05-01,Yemeksepeti,2437,72920,35.2,26.9,38.2,33.9,8522.13,365959.19,3270855.94,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Balık & Deniz Ürünleri,2026-05-01,Uber Eats Trendyol Go,903,23972,35.1,31.8,42.2,31.2,6092.3,262153.39,5109408.2,10.57,6.0,"[{""label"": ""Uzun bekleme"", ""percent"": 28.1, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 16.1, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 22.2, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 18.8, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 6.0, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 30.0, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 26.7, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 49.1, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 28.5, ""color"": ""#F99F1B""}]",91.2,3.72,4.74,3.06,128.12,129.38,1094764,15,"[[53, 37, 62, 40, 58, 93, 97, 75, 88, 95, 66, 23, 28, 41, 31, 11, 78, 98, 73, 11, 99, 44, 11, 10], [78, 65, 68, 71, 24, 11, 69, 14, 27, 12, 80, 12, 90, 34, 55, 19, 76, 35, 78, 80, 9, 83, 14, 57], [88, 78, 76, 70, 44, 37, 30, 89, 95, 44, 34, 37, 54, 20, 89, 86, 42, 62, 44, 100, 13, 5, 62, 83], [76, 16, 13, 72, 31, 68, 37, 20, 48, 12, 35, 51, 40, 24, 60, 73, 94, 42, 82, 87, 71, 5, 89, 74], [42, 88, 17, 21, 37, 18, 17, 99, 74, 23, 38, 40, 81, 30, 95, 47, 30, 91, 85, 37, 68, 66, 36, 10], [15, 85, 58, 39, 9, 4, 46, 20, 85, 37, 24, 98, 60, 74, 94, 58, 75, 5, 18, 13, 92, 23, 73, 8], [51, 78, 74, 22, 59, 20, 9, 43, 50, 9, 49, 30, 91, 35, 89, 17, 49, 75, 56, 83, 99, 23, 34, 24]]",1225,32.63,2.04,"[{""platform_id"": 1, ""percent"": 26.6}, {""platform_id"": 2, ""percent"": 40.8}, {""platform_id"": 3, ""percent"": 32.6}]","[{""stars"": 5, ""percent"": 33.3, ""count"": 2142}, {""stars"": 4, ""percent"": 25.0, ""count"": 2305}, {""stars"": 3, ""percent"": 27.2, ""count"": 1046}, {""stars"": 2, ""percent"": 13.2, ""count"": 1936}, {""stars"": 1, ""percent"": 7.2, ""count"": 379}]","[{""text"": ""Eksik"", ""weight"": 2}, {""text"": ""Kötü"", ""weight"": 2}, {""text"": ""Geç"", ""weight"": 1}, {""text"": ""Lezzetsiz"", ""weight"": 2}, {""text"": ""Soğuk"", ""weight"": 4}, {""text"": ""Tatsız"", ""weight"": 3}]","{""restaurant_courier"": {""fee"": 23, ""avg_cost"": 42.29, ""monthly_revenue"": 5286, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 34.62, ""monthly_revenue"": 1119093, ""churn_label"": ""ORTA""}}"
district,34-adalar,Balık & Deniz Ürünleri,2026-05-01,Getir,613,27559,46.9,30.2,36.6,49.6,4420.83,299142.81,4728435.56,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Balık & Deniz Ürünleri,2026-05-01,Yemeksepeti,1784,48599,40.2,35.2,32.7,39.4,6801.95,327196.32,3008456.39,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Börek,2026-05-01,Uber Eats Trendyol Go,2705,65013,43.0,39.8,38.4,34.1,4769.71,316059.42,4651000.18,11.28,13.18,"[{""label"": ""Uzun bekleme"", ""percent"": 23.0, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 12.5, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 11.2, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 15.2, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 13.0, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 15.9, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 12.5, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 32.6, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 28.8, ""color"": ""#F99F1B""}]",86.9,4.67,4.81,3.16,145.75,120.06,901701,21,"[[59, 78, 81, 87, 45, 63, 60, 60, 90, 31, 69, 64, 98, 25, 88, 14, 40, 69, 88, 85, 83, 46, 15, 100], [34, 90, 43, 32, 29, 22, 7, 9, 35, 64, 82, 13, 62, 57, 84, 77, 28, 95, 93, 53, 67, 55, 35, 22], [87, 92, 4, 100, 17, 58, 32, 26, 93, 70, 63, 10, 75, 35, 19, 62, 21, 63, 89, 71, 75, 80, 44, 100], [60, 82, 96, 68, 58, 74, 61, 24, 99, 64, 61, 37, 100, 35, 85, 39, 70, 66, 84, 34, 39, 60, 13, 95], [40, 34, 38, 46, 44, 73, 14, 21, 23, 33, 53, 92, 23, 94, 31, 12, 57, 56, 46, 73, 63, 57, 11, 30], [57, 53, 78, 93, 6, 77, 52, 65, 4, 49, 42, 100, 53, 57, 72, 99, 98, 73, 81, 32, 66, 32, 38, 59], [66, 7, 53, 47, 89, 90, 55, 96, 25, 63, 20, 83, 72, 7, 54, 79, 76, 88, 7, 14, 86, 58, 21, 63]]",1244,16.01,2.57,"[{""platform_id"": 1, ""percent"": 22.4}, {""platform_id"": 2, ""percent"": 26.4}, {""platform_id"": 3, ""percent"": 51.2}]","[{""stars"": 5, ""percent"": 29.0, ""count"": 1276}, {""stars"": 4, ""percent"": 19.2, ""count"": 1663}, {""stars"": 3, ""percent"": 18.8, ""count"": 667}, {""stars"": 2, ""percent"": 19.4, ""count"": 2034}, {""stars"": 1, ""percent"": 15.8, ""count"": 1016}]","[{""text"": ""Kötü"", ""weight"": 2}, {""text"": ""Geç"", ""weight"": 2}, {""text"": ""Az porsiyon"", ""weight"": 1}, {""text"": ""Yağlı"", ""weight"": 5}, {""text"": ""Bayat"", ""weight"": 2}, {""text"": ""Tatsız"", ""weight"": 2}]","{""restaurant_courier"": {""fee"": 19, ""avg_cost"": 34.47, ""monthly_revenue"": 3937, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 39.22, ""monthly_revenue"": 1187623, ""churn_label"": ""ORTA""}}"
district,34-adalar,Börek,2026-05-01,Getir,2010,30996,40.1,44.3,39.4,44.4,5801.42,227759.73,5893423.66,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Börek,2026-05-01,Yemeksepeti,1777,57735,41.9,44.2,32.9,42.9,4835.96,322653.6,6136211.98,,,,,,,,,,,,,,,,,,,,
district,34-adalar,Çiğ Köfte,2026-05-01,Uber Eats Trendyol Go,917,65691,44.3,42.0,37.0,28.0,14822.29,345658.84,4736018.83,13.57,7.45,"[{""label"": ""Uzun bekleme"", ""percent"": 17.6, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 13.5, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 22.0, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 25.6, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 7.1, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 29.2, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 22.7, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 44.9, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 24.1, ""color"": ""#F99F1B""}]",80.9,4.45,4.98,3.12,176.98,206.11,1313967,29,"[[59, 97, 79, 38, 45, 35, 15, 39, 61, 35, 100, 63, 76, 82, 89, 52, 47, 7, 67, 45, 27, 66, 31, 49], [37, 47, 39, 80, 93, 39, 75, 5, 70, 28, 14, 34, 96, 56, 66, 75, 34, 92, 64, 86, 95, 66, 61, 6], [15, 41, 32, 55, 92, 35, 43, 88, 78, 51, 64, 74, 71, 48, 58, 99, 74, 46, 49, 93, 62, 38, 43, 36], [33, 19, 96, 28, 44, 19, 99, 72, 92, 27, 28, 31, 98, 65, 39, 96, 79, 71, 80, 40, 16, 28, 41, 33], [50, 26, 42, 5, 94, 72, 20, 39, 9, 10, 74, 41, 93, 20, 85, 100, 66, 17, 5, 77, 40, 64, 65, 60], [47, 27, 10, 36, 65, 18, 12, 55, 66, 13, 77, 84, 91, 10, 23, 23, 76, 42, 14, 35, 19, 75, 57, 81], [80, 83, 32, 70, 52, 61, 60, 42, 79, 58, 43, 76, 83, 11, 82, 98, 16, 30, 84, 31, 37, 88, 14, 24]]",1482,18.48,2.11,"[{""platform_id"": 1, ""percent"": 15.1}, {""platform_id"": 2, ""percent"": 30.8}, {""platform_id"": 3, ""percent"": 54.1}]","[{""stars"": 5, ""percent"": 24.8, ""count"": 1096}, {""stars"": 4, ""percent"": 15.5, ""count"": 1390}, {""stars"": 3, ""percent"": 25.6, ""count"": 1939}, {""stars"": 2, ""percent"": 27.2, ""count"": 645}, {""stars"": 1, ""percent"": 18.7, ""count"": 841}]","[{""text"": ""Kötü"", ""weight"": 3}, {""text"": ""Az porsiyon"", ""weight"": 2}, {""text"": ""Bayat"", ""weight"": 1}, {""text"": ""Tatsız"", ""weight"": 1}, {""text"": ""Geç"", ""weight"": 2}, {""text"": ""Yağlı"", ""weight"": 3}]","{""restaurant_courier"": {""fee"": 24, ""avg_cost"": 33.78, ""monthly_revenue"": 6839, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 29.56, ""monthly_revenue"": 1122060, ""churn_label"": ""ORTA""}}"
