neighborhood_id,category_id,platform_id,period_date,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast
429,,1,2026-05-01,415,3881,54.26,38.94,35.48,22.43,2537.51,64866.59,913770.47
429,,2,2026-05-01,341,2566,23.54,44.6,32.34,16.2,2068.34,137361.71,2196691.2
429,,3,2026-05-01,432,8335,27.34,45.49,34.29,47.24,5218.64,145541.27,2115876.87
863,,1,2026-05-01,412,4414,62.5,32.04,32.65,37.57,3433.1,94167.35,1253504.97
863,,2,2026-05-01,471,6867,25.87,43.69,33.95,54.43,4609.15,119820.56,1782363.08
863,,3,2026-05-01,288,5107,53.84,30.52,15.3,23.11,3852.12,79197.09,1302701.98
104,,1,2026-05-01,770,3794,39.79,19.58,24.73,24.42,2560.55,71253.31,1148290.25
104,,2,2026-05-01,225,5025,52.56,48.38,21.69,43.76,5698.4,50833.15,775297.64
104,,3,2026-05-01,864,8366,42.26,23.88,31.99,44.45,2630.75,147594.54,1121981.72
218,,1,2026-05-01,872,8493,51.52,33.21,29.71,51.06,4667.55,77083.99,1363932.17
218,,2,2026-05-01,782,1848,49.04,35.69,20.78,44.11,3036.0,84868.88,813042.5
218,,3,2026-05-01,850,6048,25.61,22.89,12.07,40.74,4002.69,118347.61,604453.64
140,,1,2026-05-01,600,8261,37.15,18.24,10.09,54.92,2046.82,85702.92,986447.57
140,,2,2026-05-01,761,7226,23.87,31.45,21.0,48.38,1525.72,90191.62,1364288.13
140,,3,2026-05-01,695,5732,61.22,22.81,16.22,46.95,3192.75,141420.21,800749.5
661,,1,2026-05-01,299,3616,41.27,43.85,16.46,31.99,2560.95,149343.04,1522870.25
661,,2,2026-05-01,588,3169,52.04,29.89,19.51,33.43,1808.6,51157.12,2069358.91
661,,3,2026-05-01,819,7839,35.32,30.73,39.74,30.59,1775.84,116287.71,2119585.64
753,,1,2026-05-01,301,8574,22.63,27.9,14.69,27.32,4214.56,84275.49,1117008.38
753,,2,2026-05-01,252,4457,44.55,35.48,27.5,32.37,3079.69,84889.85,2146212.17
753,,3,2026-05-01,200,4143,28.33,46.05,32.19,51.09,5525.41,168167.4,1671434.28
537,,1,2026-05-01,241,5423,66.59,17.46,17.92,47.86,1711.28,77103.09,1914299.89
537,,2,2026-05-01,394,5758,59.31,41.72,15.85,30.72,1744.01,118859.77,626230.69
537,,3,2026-05-01,778,2623,67.13,41.6,21.12,30.86,2170.52,118639.05,972876.2
407,,1,2026-05-01,531,1926,66.59,20.85,10.47,35.96,2720.76,57275.88,1093853.12
407,,2,2026-05-01,792,4976,28.03,49.27,30.23,43.03,5632.54,50506.21,697153.46
407,,3,2026-05-01,565,4675,43.56,24.37,33.54,33.01,1516.52,48950.74,969979.59
487,,1,2026-05-01,489,3354,66.86,23.66,35.5,49.14,3372.65,179088.01,1804656.04
487,,2,2026-05-01,645,4852,33.07,31.14,37.06,36.47,2372.58,95702.04,1330333.63
487,,3,2026-05-01,345,1738,48.65,16.2,34.64,22.15,1962.95,124497.46,1050075.77
129,,1,2026-05-01,658,6179,46.07,44.21,16.43,44.81,4420.68,102839.45,2132492.8
129,,2,2026-05-01,172,7864,63.11,20.02,35.19,21.15,1741.12,112592.31,2076917.83
129,,3,2026-05-01,413,3349,44.32,36.28,17.31,36.21,1543.16,105667.25,1801218.56
347,,1,2026-05-01,498,6848,31.02,16.78,31.02,32.09,5613.29,144973.49,706649.94
347,,2,2026-05-01,301,5323,60.85,44.1,30.44,43.83,4502.34,124745.8,966948.4
347,,3,2026-05-01,286,2526,56.31,35.88,11.69,40.67,4245.25,114060.05,1826548.5
503,,1,2026-05-01,514,4622,48.9,34.99,34.15,35.53,1803.29,160980.88,1415256.11
503,,2,2026-05-01,437,4270,38.98,19.36,16.17,28.09,4109.8,148375.62,2086580.25
503,,3,2026-05-01,457,8168,66.4,15.92,31.39,30.58,3666.56,165750.0,641162.49
93,,1,2026-05-01,406,3265,20.16,33.63,39.71,48.61,3889.13,103246.19,1472128.28
93,,2,2026-05-01,161,3169,51.45,45.67,32.49,41.24,5801.56,119866.42,1582369.12
93,,3,2026-05-01,470,2803,69.58,20.6,15.56,17.22,3468.58,178018.33,835790.67
573,,1,2026-05-01,875,4853,55.03,42.9,35.59,21.2,1743.15,128824.6,1401242.07
573,,2,2026-05-01,683,7878,59.09,21.1,31.18,32.06,3397.31,78034.22,1007403.39
573,,3,2026-05-01,742,7359,47.7,46.74,18.41,43.63,1936.36,133019.2,806730.95
61,,1,2026-05-01,272,7665,32.72,43.29,16.59,27.22,1964.43,104604.68,713203.72
61,,2,2026-05-01,871,8833,48.78,29.7,31.3,24.33,2992.59,94078.45,543375.71
61,,3,2026-05-01,651,2222,54.82,41.93,35.67,25.75,1568.89,169243.68,1712263.02
208,,1,2026-05-01,797,5763,27.01,27.17,22.86,32.45,3105.99,89341.42,1119302.38
208,,2,2026-05-01,347,2376,27.4,20.6,15.08,32.09,1755.16,174172.65,1257533.55
208,,3,2026-05-01,276,5528,40.51,22.29,14.63,52.99,5098.56,98744.33,1193668.73
263,,1,2026-05-01,589,4778,34.38,34.44,22.03,48.36,4173.51,120379.79,1839802.07
263,,2,2026-05-01,601,2343,46.82,41.26,31.68,44.75,5509.05,120330.78,1461585.23
263,,3,2026-05-01,342,1720,32.06,30.21,24.96,50.97,1691.8,92200.39,1768645.04
696,,1,2026-05-01,619,4779,62.42,20.59,33.13,32.25,4053.96,52688.44,1208730.81
696,,2,2026-05-01,828,7522,29.56,45.77,16.14,16.48,1574.77,115834.16,1677438.92
696,,3,2026-05-01,552,4793,65.8,32.66,35.97,33.13,3715.45,111097.47,1583842.9
287,,1,2026-05-01,233,5880,45.61,32.79,11.8,46.91,4376.43,77346.51,728702.23
287,,2,2026-05-01,580,7249,66.76,45.47,23.96,16.43,5230.24,72289.4,1753350.38
287,,3,2026-05-01,661,5808,68.18,20.17,33.81,43.81,1577.63,121326.5,1029404.68
733,,1,2026-05-01,862,5399,68.07,38.31,24.82,39.15,2618.67,108131.35,733283.26
733,,2,2026-05-01,887,6375,23.29,33.44,15.39,37.53,1754.63,48706.08,1577311.74
733,,3,2026-05-01,886,8776,42.55,43.15,19.85,32.92,4201.0,148588.39,2005238.91
365,,1,2026-05-01,396,6246,46.17,42.55,31.33,37.87,1848.78,142450.32,1390582.23
365,,2,2026-05-01,323,4773,50.91,23.6,19.26,33.05,4880.69,59422.95,1274433.01
365,,3,2026-05-01,390,7341,53.55,43.55,17.92,43.79,3587.96,74381.54,997532.2
119,,1,2026-05-01,700,8966,60.34,36.06,10.02,46.26,4110.78,102044.42,940243.72
119,,2,2026-05-01,601,1647,54.6,24.49,14.15,50.15,3489.4,54532.35,2018681.88
119,,3,2026-05-01,262,4488,24.25,41.77,33.12,54.68,4858.42,110607.42,1488917.09
71,,1,2026-05-01,739,7354,20.04,32.9,10.54,39.74,3988.63,174980.11,671898.26
71,,2,2026-05-01,566,7758,40.46,46.34,12.47,23.38,3034.34,61013.75,796457.97
71,,3,2026-05-01,547,6277,34.61,32.36,32.33,41.74,5171.33,112077.66,711694.32
6,,1,2026-05-01,699,4647,35.1,17.72,23.54,22.9,1536.2,51390.1,1403723.9
6,,2,2026-05-01,634,6514,35.29,37.45,28.06,42.58,2953.78,85669.28,1321947.01
6,,3,2026-05-01,814,2859,46.35,16.33,18.76,46.35,5132.71,45119.39,1242478.76
830,,1,2026-05-01,849,4957,22.51,20.38,32.53,45.79,4528.92,78553.78,1978850.95
830,,2,2026-05-01,677,5432,30.31,18.38,39.67,17.23,2488.82,93105.12,2022882.13
830,,3,2026-05-01,558,8395,45.96,25.03,10.43,51.64,4901.02,79885.34,2068946.03
513,,1,2026-05-01,713,7490,56.59,19.84,22.5,30.75,5168.33,87464.3,964254.76
513,,2,2026-05-01,859,4971,34.17,22.96,23.03,34.28,2605.15,54001.52,734394.12
513,,3,2026-05-01,373,2883,53.89,48.94,20.39,24.91,4165.4,88075.6,671124.32
45,,1,2026-05-01,485,4874,43.36,29.76,21.96,29.66,3360.82,69083.25,1031701.79
45,,2,2026-05-01,857,4573,43.98,17.38,14.36,48.64,3089.02,157055.27,1564398.94
45,,3,2026-05-01,790,4223,37.78,35.29,22.45,35.66,5751.58,59505.1,894603.56
795,,1,2026-05-01,887,4761,60.64,45.12,13.11,43.74,2059.57,159471.04,1197347.74
795,,2,2026-05-01,650,7011,46.0,22.2,26.99,49.49,3519.77,104249.49,1148575.72
795,,3,2026-05-01,345,8249,34.23,44.32,38.95,29.99,2792.86,90516.32,1973778.72
594,,1,2026-05-01,418,8237,29.13,26.04,12.6,20.88,2544.18,132926.89,2082204.53
594,,2,2026-05-01,415,8936,34.66,35.54,10.89,18.56,4081.17,107735.98,1123256.48
594,,3,2026-05-01,575,2305,20.98,24.09,15.32,24.55,1814.42,155129.75,566996.31
553,,1,2026-05-01,574,3450,28.6,22.12,32.79,53.44,5844.45,89702.51,1439121.63
553,,2,2026-05-01,592,5802,24.0,29.8,28.34,30.95,5032.04,105249.87,1027854.6
553,,3,2026-05-01,793,6171,35.56,22.16,13.38,54.21,1828.7,49969.11,1029068.6
612,,1,2026-05-01,805,5123,28.47,32.4,35.24,22.91,2668.79,108236.78,2061393.14
612,,2,2026-05-01,899,4095,62.82,28.13,19.67,40.28,1647.88,111171.37,1906826.55
612,,3,2026-05-01,700,8512,61.09,44.09,20.35,39.58,2415.89,121644.06,2015497.65
778,,1,2026-05-01,641,4833,45.32,46.83,38.82,45.1,2993.72,162760.36,2059847.22
778,,2,2026-05-01,228,6563,41.24,34.29,19.15,24.63,5031.9,73277.82,1458808.21
778,,3,2026-05-01,170,2549,43.09,48.75,10.11,19.3,5553.15,168450.34,1379829.75
718,,1,2026-05-01,452,8507,34.91,40.68,27.41,32.86,4610.11,58394.28,1185712.72
718,,2,2026-05-01,186,8972,20.62,24.61,29.01,34.09,2328.7,69842.26,590776.82
718,,3,2026-05-01,499,5968,46.32,16.48,38.43,26.11,4354.07,129031.49,1130852.21
643,,1,2026-05-01,364,3819,48.09,26.43,12.31,22.04,1676.23,166236.05,876482.04
643,,2,2026-05-01,834,6568,43.39,48.17,30.21,16.8,1757.54,136515.89,659814.68
643,,3,2026-05-01,423,8953,43.68,31.53,37.06,39.63,3055.14,108854.36,1520065.55
326,,1,2026-05-01,753,2541,36.4,33.16,15.23,30.39,3069.85,107573.15,1213150.05
326,,2,2026-05-01,373,2018,28.43,31.36,39.74,48.93,2174.15,130606.95,782930.88
326,,3,2026-05-01,483,2660,69.78,26.86,13.07,37.46,4141.93,113941.8,2112728.68
163,,1,2026-05-01,675,6129,38.21,22.3,27.44,44.76,3765.44,97734.31,957073.76
163,,2,2026-05-01,187,1926,49.26,39.88,19.74,21.31,1755.34,128307.21,2062533.5
163,,3,2026-05-01,857,2935,53.65,45.08,22.37,32.15,2671.88,157204.95,1685780.17
748,,1,2026-05-01,686,5699,58.95,46.94,11.38,23.79,3604.35,141431.59,941364.58
748,,2,2026-05-01,603,3786,53.18,25.29,30.08,17.41,3356.03,131225.57,1973541.62
