neighborhood_id,category_id,platform_id,period_date,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast
429,,1,2026-05-01,1274,74922,46.9,38.23,39.37,34.8,9046.91,325837.3,5952758.4
429,,2,2026-05-01,1043,25098,44.21,25.5,8.61,32.55,11491.32,590619.07,3220098.54
429,,3,2026-05-01,1192,66788,39.02,42.72,19.91,24.23,9585.3,118596.29,4614037.01
430,,1,2026-05-01,1470,43277,55.25,38.99,28.73,17.92,4378.04,313217.62,4020772.68
430,,2,2026-05-01,334,71478,15.75,42.68,25.5,45.5,16725.05,233791.15,3953390.82
430,,3,2026-05-01,1443,34525,23.08,18.34,38.3,49.51,15359.56,147011.28,2192019.72
431,,1,2026-05-01,852,66833,59.43,34.93,12.86,32.94,17633.34,217899.14,7222294.04
431,,2,2026-05-01,1215,30833,32.06,28.43,10.36,13.65,17768.5,574298.06,1423434.45
431,,3,2026-05-01,1329,39711,54.69,37.44,32.25,34.67,5431.66,374753.59,3069107.57
407,,1,2026-05-01,1422,29900,19.46,11.54,15.45,48.05,2557.89,453682.71,5665449.9
407,,2,2026-05-01,420,43325,31.18,35.77,21.77,16.32,3252.44,431473.77,1116673.9
407,,3,2026-05-01,636,15248,43.68,29.27,23.73,11.09,8016.35,281308.84,3368029.64
408,,1,2026-05-01,922,37098,48.1,48.85,5.63,49.99,12112.15,234487.16,6228246.22
408,,2,2026-05-01,364,65934,46.36,39.18,38.9,33.79,3169.53,469516.02,1067484.85
408,,3,2026-05-01,936,79776,21.81,28.61,25.7,37.3,8788.4,143571.4,3704962.43
409,,1,2026-05-01,1084,48365,27.52,36.39,24.26,36.3,7867.5,543567.35,6393243.85
409,,2,2026-05-01,1134,23943,57.6,40.82,35.45,35.46,2710.17,544375.36,2298429.17
409,,3,2026-05-01,892,56125,30.25,28.63,27.26,14.53,3158.79,62995.35,1630398.93
487,,1,2026-05-01,475,18962,27.25,30.79,35.96,29.64,3728.91,319956.37,6256244.52
487,,2,2026-05-01,1066,4944,52.35,31.13,33.14,32.56,6459.13,297324.55,2620388.1
487,,3,2026-05-01,1097,34757,41.84,20.37,17.99,39.46,14770.68,475840.97,6862357.36
486,,1,2026-05-01,1498,26638,52.7,44.09,16.53,36.25,7699.08,545289.77,4051518.93
486,,2,2026-05-01,992,26047,44.17,12.56,35.32,22.37,3322.25,349994.98,1661425.69
486,,3,2026-05-01,1146,30772,50.04,17.33,35.84,30.72,4300.94,584416.87,5091388.17
488,,1,2026-05-01,350,26307,17.34,22.22,16.4,35.73,5681.55,62794.35,4368704.16
488,,2,2026-05-01,825,44162,19.39,43.36,11.87,20.9,14677.84,587828.9,3426772.11
488,,3,2026-05-01,692,69224,22.65,26.78,29.82,47.51,2708.35,529254.55,7515434.86
129,,1,2026-05-01,402,33069,44.91,18.54,32.8,14.03,2436.85,385134.12,4914407.75
129,,2,2026-05-01,897,42179,23.08,46.24,28.73,17.7,8288.59,332864.56,3339838.14
129,,3,2026-05-01,437,49490,58.81,36.68,10.63,28.25,16093.7,357474.4,2287885.64
130,,1,2026-05-01,1420,40144,15.05,17.32,26.41,21.98,15956.55,530182.66,6849103.66
130,,2,2026-05-01,249,17655,19.56,10.32,36.14,23.08,5904.86,288260.78,1545816.15
130,,3,2026-05-01,1233,11307,38.96,36.85,25.04,34.18,14806.34,314205.54,5585148.01
