scope,district_id,neighborhood,category,period_date,platform,customers,ad_budget,campaign_rate,coupon_rate,flash_rate,joker_rate,daily_forecast,monthly_forecast,yearly_forecast,cancel_rate,return_rate,cancel_reasons_json,return_reasons_json,area_performance_score,area_rating,highest_rating,lowest_rating,avg_basket,avg_menu_price,avg_monthly_revenue,courier_fee,hourly_heatmap_json,negative_comment_total,negative_comment_rate,negative_avg_rating,platform_negative_distribution_json,rating_distribution_json,negative_word_cloud_json,courier_comparison_json
neighborhood,34-adalar,Burgazada,,2026-05-01,Uber Eats Trendyol Go,1927,58110,48.0,27.2,39.7,44.1,14879.57,231945.55,6584014.15,9.04,12.73,"[{""label"": ""Uzun bekleme"", ""percent"": 22.3, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 6.4, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 20.0, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 12.2, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 11.4, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 20.0, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 28.3, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 43.0, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 29.9, ""color"": ""#F99F1B""}]",90.3,4.1,4.89,3.2,189.25,165.28,563318,28,"[[29, 21, 67, 93, 11, 23, 30, 16, 63, 36, 85, 8, 20, 71, 99, 13, 9, 52, 4, 84, 66, 53, 33, 41], [39, 30, 30, 39, 91, 57, 4, 27, 87, 99, 52, 30, 35, 96, 50, 54, 39, 13, 94, 55, 85, 26, 79, 74], [88, 67, 8, 25, 46, 23, 16, 50, 96, 96, 15, 38, 90, 85, 97, 33, 48, 16, 64, 20, 87, 29, 89, 52], [68, 50, 9, 37, 97, 99, 88, 43, 72, 50, 25, 53, 10, 85, 100, 22, 96, 35, 46, 40, 87, 64, 23, 25], [36, 8, 44, 96, 50, 34, 9, 55, 13, 18, 32, 82, 6, 4, 38, 50, 87, 71, 81, 21, 64, 50, 85, 25], [29, 38, 10, 68, 66, 8, 100, 51, 57, 75, 89, 32, 32, 46, 50, 49, 55, 34, 69, 51, 79, 75, 12, 71], [23, 75, 37, 30, 82, 76, 60, 42, 71, 53, 78, 75, 9, 9, 48, 95, 50, 66, 95, 30, 29, 71, 4, 62]]",1015,23.12,2.58,"[{""platform_id"": 1, ""percent"": 25.1}, {""platform_id"": 2, ""percent"": 35.2}, {""platform_id"": 3, ""percent"": 39.7}]","[{""stars"": 5, ""percent"": 17.6, ""count"": 1433}, {""stars"": 4, ""percent"": 28.3, ""count"": 1558}, {""stars"": 3, ""percent"": 15.4, ""count"": 1431}, {""stars"": 2, ""percent"": 26.1, ""count"": 531}, {""stars"": 1, ""percent"": 11.7, ""count"": 1102}]","[{""text"": ""Yağlı"", ""weight"": 4}, {""text"": ""Lezzetsiz"", ""weight"": 3}, {""text"": ""Tatsız"", ""weight"": 5}, {""text"": ""Az porsiyon"", ""weight"": 4}, {""text"": ""Eksik"", ""weight"": 5}, {""text"": ""Bayat"", ""weight"": 4}]","{""restaurant_courier"": {""fee"": 19, ""avg_cost"": 28.28, ""monthly_revenue"": 4386, ""churn_label"": ""ORTA""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 27.73, ""monthly_revenue"": 964301, ""churn_label"": ""DÜŞÜK""}}"
neighborhood,34-adalar,Burgazada,,2026-05-01,Getir,574,24014,35.0,38.8,36.5,46.7,13092.78,363144.14,5346661.05,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Burgazada,,2026-05-01,Yemeksepeti,912,68430,46.2,32.6,29.8,39.8,12379.52,349242.46,3454553.55,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Burgazada,Balık & Deniz Ürünleri,2026-05-01,Uber Eats Trendyol Go,1733,67103,28.7,26.0,41.7,38.7,5196.92,353931.97,4081489.4,16.08,11.15,"[{""label"": ""Uzun bekleme"", ""percent"": 27.9, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 24.0, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 10.4, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 22.9, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 7.6, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 15.8, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 16.6, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 24.1, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 15.2, ""color"": ""#F99F1B""}]",84.9,3.72,4.62,2.98,162.96,243.84,416865,15,"[[7, 16, 28, 20, 61, 71, 81, 25, 73, 88, 90, 24, 37, 88, 34, 46, 11, 86, 79, 66, 76, 16, 95, 33], [46, 33, 24, 81, 45, 52, 18, 85, 66, 56, 27, 79, 39, 98, 93, 70, 39, 56, 98, 66, 52, 40, 11, 72], [100, 80, 62, 62, 78, 50, 31, 52, 12, 39, 4, 74, 28, 4, 86, 63, 9, 80, 10, 54, 35, 34, 52, 11], [20, 66, 28, 19, 96, 46, 58, 64, 96, 24, 57, 12, 66, 99, 29, 58, 27, 79, 22, 41, 45, 80, 89, 73], [77, 64, 94, 61, 62, 29, 73, 96, 98, 27, 92, 42, 28, 68, 23, 12, 39, 59, 25, 80, 24, 25, 27, 24], [71, 32, 29, 70, 96, 14, 29, 68, 45, 26, 96, 24, 31, 47, 80, 7, 53, 22, 66, 91, 7, 78, 94, 41], [9, 96, 91, 16, 39, 42, 13, 25, 43, 47, 24, 27, 79, 23, 36, 51, 53, 60, 90, 7, 70, 89, 86, 76]]",1403,26.51,2.34,"[{""platform_id"": 1, ""percent"": 37.5}, {""platform_id"": 2, ""percent"": 45.6}, {""platform_id"": 3, ""percent"": 16.8}]","[{""stars"": 5, ""percent"": 10.9, ""count"": 1349}, {""stars"": 4, ""percent"": 28.6, ""count"": 2221}, {""stars"": 3, ""percent"": 29.5, ""count"": 1916}, {""stars"": 2, ""percent"": 13.8, ""count"": 1816}, {""stars"": 1, ""percent"": 24.1, ""count"": 870}]","[{""text"": ""Geç"", ""weight"": 2}, {""text"": ""Yağlı"", ""weight"": 5}, {""text"": ""Lezzetsiz"", ""weight"": 4}, {""text"": ""Soğuk"", ""weight"": 5}, {""text"": ""Tatsız"", ""weight"": 5}, {""text"": ""Az porsiyon"", ""weight"": 3}]","{""restaurant_courier"": {""fee"": 17, ""avg_cost"": 39.63, ""monthly_revenue"": 7992, ""churn_label"": ""YÜKSEK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 30.11, ""monthly_revenue"": 1499481, ""churn_label"": ""DÜŞÜK""}}"
neighborhood,34-adalar,Burgazada,Balık & Deniz Ürünleri,2026-05-01,Getir,2872,61878,43.6,31.8,34.6,39.3,4651.16,324828.47,3925827.41,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Burgazada,Balık & Deniz Ürünleri,2026-05-01,Yemeksepeti,2453,28461,30.6,39.8,38.6,25.4,9302.59,289889.69,7369882.53,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Burgazada,Börek,2026-05-01,Uber Eats Trendyol Go,786,56539,35.9,41.3,35.1,32.4,11493.98,221282.16,6595477.63,20.06,5.02,"[{""label"": ""Uzun bekleme"", ""percent"": 20.5, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 11.7, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 10.0, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 14.2, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 17.9, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 27.4, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 10.8, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 39.1, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 17.6, ""color"": ""#F99F1B""}]",73.4,4.59,4.73,3.93,192.22,120.11,662204,25,"[[20, 90, 91, 51, 85, 89, 94, 37, 84, 17, 18, 99, 89, 11, 100, 51, 49, 98, 56, 26, 87, 42, 13, 22], [58, 88, 56, 61, 57, 86, 68, 7, 86, 76, 37, 10, 98, 44, 76, 55, 42, 65, 8, 35, 29, 58, 38, 25], [40, 45, 29, 95, 23, 7, 59, 44, 38, 96, 97, 32, 21, 56, 85, 12, 41, 32, 42, 11, 93, 89, 30, 65], [13, 48, 23, 95, 38, 28, 19, 9, 81, 12, 46, 90, 56, 72, 35, 87, 7, 83, 98, 50, 34, 97, 13, 99], [27, 24, 50, 24, 98, 55, 39, 79, 60, 40, 60, 74, 63, 11, 59, 60, 87, 84, 89, 52, 41, 40, 24, 68], [56, 84, 33, 8, 63, 88, 98, 7, 62, 71, 14, 98, 9, 97, 12, 97, 8, 17, 21, 41, 41, 71, 5, 51], [54, 81, 85, 42, 20, 17, 18, 98, 69, 65, 43, 95, 79, 87, 6, 7, 39, 36, 78, 12, 10, 88, 96, 11]]",2299,18.39,2.29,"[{""platform_id"": 1, ""percent"": 17.5}, {""platform_id"": 2, ""percent"": 44.4}, {""platform_id"": 3, ""percent"": 38.1}]","[{""stars"": 5, ""percent"": 17.3, ""count"": 1667}, {""stars"": 4, ""percent"": 17.6, ""count"": 863}, {""stars"": 3, ""percent"": 19.2, ""count"": 1730}, {""stars"": 2, ""percent"": 14.2, ""count"": 1960}, {""stars"": 1, ""percent"": 24.2, ""count"": 892}]","[{""text"": ""Bayat"", ""weight"": 4}, {""text"": ""Tatsız"", ""weight"": 1}, {""text"": ""Lezzetsiz"", ""weight"": 3}, {""text"": ""Geç"", ""weight"": 2}, {""text"": ""Az porsiyon"", ""weight"": 1}, {""text"": ""Eksik"", ""weight"": 1}]","{""restaurant_courier"": {""fee"": 26, ""avg_cost"": 32.41, ""monthly_revenue"": 3076, ""churn_label"": ""YÜKSEK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 26.32, ""monthly_revenue"": 1463300, ""churn_label"": ""ORTA""}}"
neighborhood,34-adalar,Burgazada,Börek,2026-05-01,Getir,2751,40741,26.0,33.3,40.4,36.1,12908.43,311870.58,4336368.25,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Burgazada,Börek,2026-05-01,Yemeksepeti,1584,54235,30.7,43.7,31.6,25.5,7862.99,216458.72,3657950.56,,,,,,,,,,,,,,,,,,,,
neighborhood,34-adalar,Burgazada,Çiğ Köfte,2026-05-01,Uber Eats Trendyol Go,2375,51072,26.3,28.1,31.9,30.8,8271.1,176179.39,4674769.64,7.35,13.89,"[{""label"": ""Uzun bekleme"", ""percent"": 15.9, ""color"": ""#EE4444""}, {""label"": ""Yanlış ürün"", ""percent"": 26.6, ""color"": ""#A65EEA""}, {""label"": ""Lezzet"", ""percent"": 14.4, ""color"": ""#22CCEE""}, {""label"": ""Ürün stokta yok"", ""percent"": 7.4, ""color"": ""#66DD22""}, {""label"": ""Diğer"", ""percent"": 9.2, ""color"": ""#F99F1B""}]","[{""label"": ""Eksik Malzeme"", ""percent"": 17.4, ""color"": ""#EE4444""}, {""label"": ""Soğuk Geldi"", ""percent"": 13.9, ""color"": ""#A65EEA""}, {""label"": ""Yanlış Sipariş"", ""percent"": 23.4, ""color"": ""#22CCEE""}, {""label"": ""Ambalaj"", ""percent"": 17.9, ""color"": ""#F99F1B""}]",86.2,4.05,4.66,3.56,194.45,259.72,691695,25,"[[48, 31, 19, 93, 8, 67, 29, 67, 13, 27, 22, 4, 60, 22, 45, 97, 8, 73, 86, 43, 45, 96, 99, 26], [42, 6, 74, 70, 59, 96, 8, 98, 82, 58, 90, 79, 20, 44, 33, 34, 56, 8, 16, 90, 5, 78, 98, 87], [82, 77, 34, 13, 79, 16, 94, 38, 11, 7, 80, 82, 91, 68, 18, 25, 96, 83, 61, 94, 18, 79, 21, 88], [93, 86, 27, 70, 70, 61, 43, 97, 13, 46, 94, 79, 36, 83, 23, 49, 37, 85, 28, 42, 94, 46, 9, 23], [55, 58, 37, 86, 26, 65, 35, 72, 94, 59, 84, 80, 54, 59, 39, 74, 12, 14, 8, 46, 12, 25, 76, 85], [97, 21, 93, 63, 22, 38, 28, 6, 98, 58, 67, 64, 67, 83, 70, 33, 88, 53, 62, 62, 68, 12, 5, 67], [4, 69, 92, 21, 36, 10, 68, 82, 32, 85, 49, 14, 95, 92, 32, 28, 99, 16, 49, 62, 77, 26, 11, 75]]",1238,28.44,3.19,"[{""platform_id"": 1, ""percent"": 28.5}, {""platform_id"": 2, ""percent"": 44.0}, {""platform_id"": 3, ""percent"": 27.5}]","[{""stars"": 5, ""percent"": 19.7, ""count"": 835}, {""stars"": 4, ""percent"": 15.2, ""count"": 1713}, {""stars"": 3, ""percent"": 27.4, ""count"": 2378}, {""stars"": 2, ""percent"": 13.0, ""count"": 2162}, {""stars"": 1, ""percent"": 24.3, ""count"": 539}]","[{""text"": ""Soğuk"", ""weight"": 5}, {""text"": ""Az porsiyon"", ""weight"": 4}, {""text"": ""Yağlı"", ""weight"": 1}, {""text"": ""Kötü"", ""weight"": 1}, {""text"": ""Bayat"", ""weight"": 1}, {""text"": ""Eksik"", ""weight"": 5}]","{""restaurant_courier"": {""fee"": 23, ""avg_cost"": 25.03, ""monthly_revenue"": 4960, ""churn_label"": ""DÜŞÜK""}, ""own_courier"": {""fee"": 0, ""avg_cost"": 25.4, ""monthly_revenue"": 1295576, ""churn_label"": ""DÜŞÜK""}}"
