name,district_id,neighborhood_id,category_id,is_active,platforms
Burger Stop - Fatih,34-fatih,429,1,true,"[{""platform_id"": 1, ""customers"": 243}, {""platform_id"": 2, ""customers"": 88}, {""platform_id"": 3, ""customers"": 106}]"
Pizza Napoli - Fatih,34-fatih,429,2,true,"[{""platform_id"": 1, ""customers"": 150}, {""platform_id"": 2, ""customers"": 122}, {""platform_id"": 3, ""customers"": 157}]"
Kebapçı Hasan - Fatih,34-fatih,429,3,true,"[{""platform_id"": 1, ""customers"": 115}, {""platform_id"": 2, ""customers"": 86}, {""platform_id"": 3, ""customers"": 273}]"
Döner Sarayı - Fatih,34-fatih,429,4,true,"[{""platform_id"": 1, ""customers"": 219}, {""platform_id"": 2, ""customers"": 82}, {""platform_id"": 3, ""customers"": 251}]"
Sushi Tokyo - Fatih,34-fatih,429,5,true,"[{""platform_id"": 1, ""customers"": 188}, {""platform_id"": 2, ""customers"": 68}, {""platform_id"": 3, ""customers"": 107}]"
Beef House - Zeytinburnu,34-zeytinburnu,863,1,true,"[{""platform_id"": 1, ""customers"": 103}, {""platform_id"": 2, ""customers"": 115}, {""platform_id"": 3, ""customers"": 159}]"
Pizzeria Roma - Zeytinburnu,34-zeytinburnu,863,2,true,"[{""platform_id"": 1, ""customers"": 209}, {""platform_id"": 2, ""customers"": 214}, {""platform_id"": 3, ""customers"": 106}]"
Adana Sofrası - Zeytinburnu,34-zeytinburnu,863,3,true,"[{""platform_id"": 1, ""customers"": 223}, {""platform_id"": 2, ""customers"": 110}, {""platform_id"": 3, ""customers"": 283}]"
Pidem Döner - Zeytinburnu,34-zeytinburnu,863,4,true,"[{""platform_id"": 1, ""customers"": 246}, {""platform_id"": 2, ""customers"": 199}, {""platform_id"": 3, ""customers"": 207}]"
Maki Roll - Zeytinburnu,34-zeytinburnu,863,5,true,"[{""platform_id"": 1, ""customers"": 136}, {""platform_id"": 2, ""customers"": 174}, {""platform_id"": 3, ""customers"": 250}]"
Smash Lab - Bakırköy,34-bakırköy,104,1,true,"[{""platform_id"": 1, ""customers"": 151}, {""platform_id"": 2, ""customers"": 61}, {""platform_id"": 3, ""customers"": 294}]"
Bella Italia - Bakırköy,34-bakırköy,104,2,true,"[{""platform_id"": 1, ""customers"": 120}, {""platform_id"": 2, ""customers"": 168}, {""platform_id"": 3, ""customers"": 187}]"
Urfa Mutfağı - Bakırköy,34-bakırköy,104,3,true,"[{""platform_id"": 1, ""customers"": 151}, {""platform_id"": 2, ""customers"": 99}, {""platform_id"": 3, ""customers"": 155}]"
Anadolu Döner - Bakırköy,34-bakırköy,104,4,true,"[{""platform_id"": 1, ""customers"": 166}, {""platform_id"": 2, ""customers"": 86}, {""platform_id"": 3, ""customers"": 123}]"
Sakura House - Bakırköy,34-bakırköy,104,5,true,"[{""platform_id"": 1, ""customers"": 177}, {""platform_id"": 2, ""customers"": 84}, {""platform_id"": 3, ""customers"": 191}]"
Grill Master - Beyoğlu,34-beyoğlu,218,1,true,"[{""platform_id"": 1, ""customers"": 168}, {""platform_id"": 2, ""customers"": 214}, {""platform_id"": 3, ""customers"": 167}]"
Hot Slice - Beyoğlu,34-beyoğlu,218,2,true,"[{""platform_id"": 1, ""customers"": 91}, {""platform_id"": 2, ""customers"": 177}, {""platform_id"": 3, ""customers"": 237}]"
Ocakbaşı Hüsnü - Beyoğlu,34-beyoğlu,218,3,true,"[{""platform_id"": 1, ""customers"": 111}, {""platform_id"": 2, ""customers"": 156}, {""platform_id"": 3, ""customers"": 120}]"
İskender Pala - Beyoğlu,34-beyoğlu,218,4,true,"[{""platform_id"": 1, ""customers"": 221}, {""platform_id"": 2, ""customers"": 135}, {""platform_id"": 3, ""customers"": 312}]"
Wasabi - Beyoğlu,34-beyoğlu,218,5,true,"[{""platform_id"": 1, ""customers"": 240}, {""platform_id"": 2, ""customers"": 218}, {""platform_id"": 3, ""customers"": 320}]"
Black Bun - Beşiktaş,34-beşiktaş,140,1,true,"[{""platform_id"": 1, ""customers"": 172}, {""platform_id"": 2, ""customers"": 207}, {""platform_id"": 3, ""customers"": 149}]"
La Forno - Beşiktaş,34-beşiktaş,140,2,true,"[{""platform_id"": 1, ""customers"": 260}, {""platform_id"": 2, ""customers"": 77}, {""platform_id"": 3, ""customers"": 111}]"
Kebap Evi - Beşiktaş,34-beşiktaş,140,3,true,"[{""platform_id"": 1, ""customers"": 249}, {""platform_id"": 2, ""customers"": 118}, {""platform_id"": 3, ""customers"": 297}]"
Tombik Döner - Beşiktaş,34-beşiktaş,140,4,true,"[{""platform_id"": 1, ""customers"": 154}, {""platform_id"": 2, ""customers"": 80}, {""platform_id"": 3, ""customers"": 318}]"
Ginza Sushi - Beşiktaş,34-beşiktaş,140,5,true,"[{""platform_id"": 1, ""customers"": 139}, {""platform_id"": 2, ""customers"": 85}, {""platform_id"": 3, ""customers"": 197}]"
Çiftlik Burger - Sarıyer,34-sarıyer,661,1,true,"[{""platform_id"": 1, ""customers"": 151}, {""platform_id"": 2, ""customers"": 176}, {""platform_id"": 3, ""customers"": 262}]"
Stone Pizza - Sarıyer,34-sarıyer,661,2,true,"[{""platform_id"": 1, ""customers"": 173}, {""platform_id"": 2, ""customers"": 101}, {""platform_id"": 3, ""customers"": 194}]"
Antep Sofrası - Sarıyer,34-sarıyer,661,3,true,"[{""platform_id"": 1, ""customers"": 170}, {""platform_id"": 2, ""customers"": 113}, {""platform_id"": 3, ""customers"": 271}]"
Sultan Döner - Sarıyer,34-sarıyer,661,4,true,"[{""platform_id"": 1, ""customers"": 148}, {""platform_id"": 2, ""customers"": 78}, {""platform_id"": 3, ""customers"": 255}]"
Roll'n Bowl - Sarıyer,34-sarıyer,661,5,true,"[{""platform_id"": 1, ""customers"": 242}, {""platform_id"": 2, ""customers"": 103}, {""platform_id"": 3, ""customers"": 236}]"
Brioche Burger - Şişli,34-şişli,753,1,true,"[{""platform_id"": 1, ""customers"": 142}, {""platform_id"": 2, ""customers"": 101}, {""platform_id"": 3, ""customers"": 218}]"
Margherita Lab - Şişli,34-şişli,753,2,true,"[{""platform_id"": 1, ""customers"": 177}, {""platform_id"": 2, ""customers"": 129}, {""platform_id"": 3, ""customers"": 263}]"
Kebapçı Hasan - Şişli,34-şişli,753,3,true,"[{""platform_id"": 1, ""customers"": 256}, {""platform_id"": 2, ""customers"": 202}, {""platform_id"": 3, ""customers"": 156}]"
Döner Sarayı - Şişli,34-şişli,753,4,true,"[{""platform_id"": 1, ""customers"": 255}, {""platform_id"": 2, ""customers"": 143}, {""platform_id"": 3, ""customers"": 315}]"
Sushi Tokyo - Şişli,34-şişli,753,5,true,"[{""platform_id"": 1, ""customers"": 94}, {""platform_id"": 2, ""customers"": 118}, {""platform_id"": 3, ""customers"": 310}]"
Crispy Burger - Kağıthane,34-kağıthane,534,1,true,"[{""platform_id"": 1, ""customers"": 88}, {""platform_id"": 2, ""customers"": 140}, {""platform_id"": 3, ""customers"": 202}]"
Pizza Napoli - Kağıthane,34-kağıthane,534,2,true,"[{""platform_id"": 1, ""customers"": 148}, {""platform_id"": 2, ""customers"": 76}, {""platform_id"": 3, ""customers"": 154}]"
Adana Sofrası - Kağıthane,34-kağıthane,534,3,true,"[{""platform_id"": 1, ""customers"": 225}, {""platform_id"": 2, ""customers"": 140}, {""platform_id"": 3, ""customers"": 154}]"
Pidem Döner - Kağıthane,34-kağıthane,534,4,true,"[{""platform_id"": 1, ""customers"": 247}, {""platform_id"": 2, ""customers"": 187}, {""platform_id"": 3, ""customers"": 201}]"
Maki Roll - Kağıthane,34-kağıthane,534,5,true,"[{""platform_id"": 1, ""customers"": 244}, {""platform_id"": 2, ""customers"": 177}, {""platform_id"": 3, ""customers"": 136}]"
Burger Stop - Eyüpsultan,34-eyüpsultan,407,1,true,"[{""platform_id"": 1, ""customers"": 147}, {""platform_id"": 2, ""customers"": 95}, {""platform_id"": 3, ""customers"": 163}]"
Pizzeria Roma - Eyüpsultan,34-eyüpsultan,407,2,true,"[{""platform_id"": 1, ""customers"": 223}, {""platform_id"": 2, ""customers"": 197}, {""platform_id"": 3, ""customers"": 167}]"
Urfa Mutfağı - Eyüpsultan,34-eyüpsultan,407,3,true,"[{""platform_id"": 1, ""customers"": 229}, {""platform_id"": 2, ""customers"": 169}, {""platform_id"": 3, ""customers"": 249}]"
Anadolu Döner - Eyüpsultan,34-eyüpsultan,407,4,true,"[{""platform_id"": 1, ""customers"": 182}, {""platform_id"": 2, ""customers"": 152}, {""platform_id"": 3, ""customers"": 156}]"
Sakura House - Eyüpsultan,34-eyüpsultan,407,5,true,"[{""platform_id"": 1, ""customers"": 115}, {""platform_id"": 2, ""customers"": 190}, {""platform_id"": 3, ""customers"": 226}]"
Beef House - Gaziosmanpaşa,34-gaziosmanpaşa,486,1,true,"[{""platform_id"": 1, ""customers"": 103}, {""platform_id"": 2, ""customers"": 72}, {""platform_id"": 3, ""customers"": 320}]"
Bella Italia - Gaziosmanpaşa,34-gaziosmanpaşa,486,2,true,"[{""platform_id"": 1, ""customers"": 108}, {""platform_id"": 2, ""customers"": 99}, {""platform_id"": 3, ""customers"": 260}]"
Ocakbaşı Hüsnü - Gaziosmanpaşa,34-gaziosmanpaşa,486,3,true,"[{""platform_id"": 1, ""customers"": 120}, {""platform_id"": 2, ""customers"": 168}, {""platform_id"": 3, ""customers"": 252}]"
İskender Pala - Gaziosmanpaşa,34-gaziosmanpaşa,486,4,true,"[{""platform_id"": 1, ""customers"": 96}, {""platform_id"": 2, ""customers"": 158}, {""platform_id"": 3, ""customers"": 197}]"
Wasabi - Gaziosmanpaşa,34-gaziosmanpaşa,486,5,true,"[{""platform_id"": 1, ""customers"": 232}, {""platform_id"": 2, ""customers"": 179}, {""platform_id"": 3, ""customers"": 235}]"
Smash Lab - Bayrampaşa,34-bayrampaşa,129,1,true,"[{""platform_id"": 1, ""customers"": 144}, {""platform_id"": 2, ""customers"": 201}, {""platform_id"": 3, ""customers"": 320}]"
Hot Slice - Bayrampaşa,34-bayrampaşa,129,2,true,"[{""platform_id"": 1, ""customers"": 82}, {""platform_id"": 2, ""customers"": 89}, {""platform_id"": 3, ""customers"": 274}]"
Kebap Evi - Bayrampaşa,34-bayrampaşa,129,3,true,"[{""platform_id"": 1, ""customers"": 217}, {""platform_id"": 2, ""customers"": 128}, {""platform_id"": 3, ""customers"": 296}]"
Tombik Döner - Bayrampaşa,34-bayrampaşa,129,4,true,"[{""platform_id"": 1, ""customers"": 244}, {""platform_id"": 2, ""customers"": 147}, {""platform_id"": 3, ""customers"": 128}]"
Ginza Sushi - Bayrampaşa,34-bayrampaşa,129,5,true,"[{""platform_id"": 1, ""customers"": 155}, {""platform_id"": 2, ""customers"": 171}, {""platform_id"": 3, ""customers"": 140}]"
Grill Master - Esenler,34-esenler,347,1,true,"[{""platform_id"": 1, ""customers"": 196}, {""platform_id"": 2, ""customers"": 60}, {""platform_id"": 3, ""customers"": 284}]"
La Forno - Esenler,34-esenler,347,2,true,"[{""platform_id"": 1, ""customers"": 147}, {""platform_id"": 2, ""customers"": 188}, {""platform_id"": 3, ""customers"": 295}]"
Antep Sofrası - Esenler,34-esenler,347,3,true,"[{""platform_id"": 1, ""customers"": 125}, {""platform_id"": 2, ""customers"": 189}, {""platform_id"": 3, ""customers"": 127}]"
